;tika;tika;tika;language-detector;language-detector;language-detector;LanguageIdentifier;LanguageIdentifier;LanguageIdentifier
Daten;original;uppercased;abbreviations-resolved orig;original;uppercased;abbreviations-resolved orig;original;uppercased;abbreviations-resolved orig
tweets;0,47;0,47;0,48;0,72;0,1;0,73;0,77;0;0,77
industry;0,34;0,34;0,34;0,45;0,11;0,59;0,56;0,56;0,59
treebank;0,86;0,86;0,86;0,96;0,14;0,96;0,96;0;0,96
brown;0,84;0,84;0,84;0,89;0,11;0,9;0,91;0;0,91
chat;0,2;0,2;0,21;0,22;0,01;0,23;0,33;0;0,38
